accession,GO
Q0MQI0,GO:0005743; GO:0005747; GO:0051539; GO:0046872; GO:0008137; GO:0048038; GO:0009060; GO:0015990; GO:0006120; GO:0032981
P42028,GO:0005743; GO:0005747; GO:0051539; GO:0046872; GO:0008137; GO:0009060; GO:0006120; GO:0032981; GO:0006979
Q60HE3,GO:0005743; GO:0005747; GO:0005739; GO:0051539; GO:0046872; GO:0008137; GO:0006120; GO:0032981; GO:0006979
O21233,GO:0005739; GO:0070469; GO:0051539; GO:0046872; GO:0008137
Q91YT0,GO:0005829; GO:0005743; GO:0005747; GO:0005739; GO:0051539; GO:0010181; GO:0046872; GO:0051287; GO:0008137; GO:0009060; GO:0042775; GO:0006120; GO:0042776
Q0MQI4,GO:0005743; GO:0045271; GO:0051539; GO:0010181; GO:0046872; GO:0051287; GO:0008137
Q0MQI9,GO:0005743; GO:0005747; GO:0051537; GO:0046872; GO:0008137; GO:0006120
P29120,GO:0043679; GO:0030425; GO:0005615; GO:0016020; GO:0043005; GO:0043204; GO:0048471; GO:0005791; GO:0034774; GO:0005802; GO:0030133; GO:0042802; GO:0004252; GO:0007267; GO:0022008; GO:0031016; GO:0043043; GO:0016486; GO:0021983; GO:0050714; GO:0016540; GO:0016485; GO:0006508; GO:0048678; GO:0051592; GO:0010157; GO:0070542; GO:0051384; GO:0009749; GO:0070555; GO:0032496; GO:0043278; GO:0031667; GO:0043434; GO:0009410
P21661,GO:0030425; GO:0005788; GO:0005615; GO:0043231; GO:0016020; GO:0043005; GO:0043025; GO:0005654; GO:0043204; GO:0030141; GO:0034774; GO:0030133; GO:0004175; GO:0004252; GO:0034230; GO:0030070; GO:0034231; GO:0007399; GO:0016486; GO:0016540; GO:0016485; GO:0006508
Q5REC2,GO:0005615; GO:0016020; GO:0005654; GO:0030133; GO:0004252; GO:0034230; GO:0030070; GO:0007399; GO:0016486; GO:0016540
P28841,GO:0030425; GO:0005615; GO:0016020; GO:0043005; GO:0043025; GO:0005654; GO:0043204; GO:0034774; GO:0030133; GO:0004175; GO:0004252; GO:0034230; GO:0030070; GO:0034231; GO:0007399; GO:0016486; GO:0016540; GO:0016485; GO:0006508
Q3T093,GO:0030125; GO:0005905; GO:0006897; GO:0015031; GO:0016192
Q96PU5,GO:0005737; GO:0005829; GO:0070062; GO:0005794; GO:0005771; GO:0005654; GO:0019870; GO:0015459; GO:0019871; GO:0017080; GO:0044325; GO:0061630; GO:0004842; GO:0030154; GO:0034220; GO:1901380; GO:1901017; GO:2000009; GO:1902306; GO:2000650; GO:2001288; GO:1903861; GO:0043161; GO:0070936; GO:0000209; GO:0016567; GO:0048814; GO:0034765; GO:0003254; GO:0042391; GO:0060306; GO:1901016; GO:0031647; GO:1902305; GO:0006511; GO:0086005
Q5RBF2,GO:0005794; GO:0005771; GO:0061630; GO:0030154; GO:1902305; GO:0006511
Q4PLJ0,GO:0005829; GO:0005654; GO:0031625; GO:0008104; GO:0045116; GO:0006357
Q71UE8,GO:0005737; GO:0005634; GO:0031386; GO:0031625; GO:0019941; GO:0008104; GO:0045116; GO:0030162; GO:0006357; GO:0014070
O57535,GO:0005615; GO:0030027; GO:0005739; GO:0005886; GO:0001726; GO:0005524; GO:0046872; GO:0004550; GO:0006241; GO:0006183; GO:0043066; GO:0006165; GO:0050679; GO:0045618; GO:0042981; GO:0045682; GO:0006228
Q9W6V2,GO:0031225; GO:0005886; GO:0007155
Q7Z3B1,GO:0031225; GO:0030425; GO:0005576; GO:0043025; GO:0005886; GO:0007420; GO:0098609; GO:0007631; GO:0007626; GO:0031175; GO:0010976; GO:0051963
Q6ZWH5,GO:0005576; GO:1902911; GO:0005524; GO:0046872; GO:0004672; GO:0106310; GO:0004674; GO:0120197; GO:0043406; GO:0031954; GO:0006468; GO:1902749; GO:0070372
A2BD05,GO:0034451; GO:0005829; GO:0016607; GO:0032991; GO:0000922; GO:0005524; GO:0140297; GO:0019894; GO:0000287; GO:0019901; GO:0106310; GO:0004674; GO:0001222; GO:0031625; GO:0006915; GO:0007049; GO:0051301; GO:0007059; GO:0018105; GO:0046777; GO:0006468; GO:0030071
Q8TDX7,GO:0005737; GO:0005874; GO:0005815; GO:0005654; GO:0005634; GO:0000922; GO:0005524; GO:0046872; GO:0106310; GO:0004674; GO:0035865; GO:0018105; GO:1900227; GO:0051973; GO:1904355; GO:0032212; GO:0006468; GO:0007346; GO:0051225
Q9ES74,GO:0005737; GO:0005815; GO:0005654; GO:0005634; GO:0000922; GO:0005524; GO:0046872; GO:0106310; GO:0004674; GO:0035865; GO:0018105; GO:1900227; GO:0051973; GO:1904355; GO:0032212; GO:0006468
D3ZGQ5,GO:0005813; GO:0097546; GO:0097543; GO:0005929; GO:0005737; GO:0005634; GO:0005524; GO:0046872; GO:0106310; GO:0004674; GO:0009887; GO:0007059; GO:0007368; GO:0007507; GO:0006468; GO:0035330
Q8TD19,GO:0005829; GO:0005634; GO:0005524; GO:0046872; GO:0019901; GO:0106310; GO:0004674; GO:0007049; GO:0051301; GO:0006468
Q8WX92,GO:0005737; GO:0032021; GO:0005654; GO:0005634; GO:0003723; GO:0008283; GO:2000737; GO:0034244; GO:0048863
Q8IXH7,GO:0016020; GO:0032021; GO:0005654; GO:0005634; GO:0003723; GO:0034244
Q5RFA0,GO:0005634; GO:0003723; GO:0045892
Q92832,GO:0005737; GO:0005576; GO:0005635; GO:0048471; GO:0005509; GO:0008201; GO:0005080; GO:0030154; GO:0033689; GO:0042177; GO:0007399; GO:0030501; GO:0045669; GO:0010468
Q5R3Z7,GO:0005576; GO:0005509; GO:0009566
Q90827,GO:0005737; GO:0005615; GO:0005509; GO:0008201; GO:0005080; GO:0043621; GO:0008283; GO:0090260; GO:0001755; GO:0051781; GO:0045666
Q1JQA5,GO:0012505; GO:0005783; GO:0005615; GO:0016020; GO:0005739; GO:0008083; GO:0046872; GO:0000165; GO:0032099; GO:1901215; GO:0043410
Q9UMX5,GO:0012505; GO:0005783; GO:0005615; GO:0016020; GO:0005739; GO:0008083; GO:0046872; GO:0000165; GO:0032099; GO:1901215; GO:0043410
Q9CQ45,GO:0012505; GO:0005783; GO:0005615; GO:0016020; GO:0005739; GO:0008083; GO:0046872; GO:0000165; GO:0032099; GO:1901215; GO:0043410
Q90610,GO:0005887; GO:0038023; GO:0007411; GO:0007155; GO:0055072; GO:0030513
P97603,GO:0044295; GO:0009986; GO:0005887; GO:0097708; GO:0016020; GO:0043025; GO:0005886; GO:0098797; GO:0070700; GO:0045296; GO:0039706; GO:0038023; GO:0007411; GO:0098609; GO:0055072; GO:0007520; GO:0048681; GO:1901215; GO:0050709; GO:0001764; GO:0030513; GO:0048679; GO:2001222; GO:0006355
O35130,GO:0005694; GO:0005730; GO:0005654; GO:0032040; GO:0042802; GO:0070037; GO:0019843; GO:0001824; GO:0017126; GO:0070475
Q5M8F7,GO:0005737; GO:0016021; GO:0071595; GO:0031965; GO:0006629; GO:0035307; GO:0010867
Q2HXW4,GO:0005604; GO:0005737; GO:0005576; GO:0005125; GO:0009887; GO:0006915; GO:0019724; GO:0042100; GO:0032488; GO:0061643; GO:0016358; GO:0008045; GO:0045773; GO:2000147; GO:0007265; GO:0006930; GO:0002456; GO:0009888
Q90923,GO:0005604; GO:0005576; GO:0005102; GO:0009887; GO:0016358; GO:0008045; GO:0007520; GO:0006355; GO:0009888
Q8TDF5,GO:0070161; GO:0060076; GO:0005576; GO:0098978; GO:0099061; GO:0014069; GO:0098839; GO:0035255; GO:0007613; GO:2000463; GO:0097120; GO:2000312; GO:0048169; GO:0008542
Q8NC67,GO:0016021; GO:0014069; GO:0035255; GO:2000312
Q8BNJ6,GO:0016021; GO:0005886; GO:0014069; GO:0045202; GO:0035255; GO:2000312
P15444,GO:0005576; GO:0005185
P54866,GO:0005516
Q90935,GO:0060205; GO:0005615; GO:0043025; GO:0043204; GO:0004867; GO:0010951
P21359,GO:0030424; GO:0005737; GO:0005829; GO:0030425; GO:0016020; GO:0005730; GO:0005634; GO:0098793; GO:0005096; GO:0031210; GO:0008429; GO:0030036; GO:0030325; GO:0021764; GO:0001525; GO:0048844; GO:0007420; GO:0048593; GO:0007154; GO:0034605; GO:0021987; GO:0050890; GO:0030199; GO:0001935; GO:0030198; GO:0097192; GO:0008625; GO:0048144; GO:0021897; GO:0048853; GO:0061534; GO:0061535; GO:0048820; GO:0007507; GO:0001889; GO:0000165; GO:0033024; GO:0070662; GO:0001656; GO:0022011; GO:0097529; GO:0016525; GO:0048712; GO:0030336; GO:0001953; GO:0001937; GO:0048147; GO:0002686; GO:0043407; GO:0043409; GO:0070667; GO:0007406; GO:0046929; GO:0048715; GO:0045671; GO:0042308; GO:0006469; GO:0035021; GO:1900148; GO:0010626; GO:2000647; GO:1904753; GO:0021915; GO:0007405; GO:0051402; GO:0098597; GO:0048709; GO:0001649; GO:0030316; GO:0007422; GO:0014065; GO:0043473; GO:0045762; GO:0043065; GO:0001938; GO:2001241; GO:0043547; GO:0033027; GO:0043525; GO:1904707; GO:0006606; GO:0016601; GO:0007265; GO:0045765; GO:0043535; GO:0045124; GO:0001952; GO:0010468; GO:0045685; GO:0043087; GO:0048169; GO:1900271; GO:0032228; GO:0001666; GO:0014044; GO:0036135; GO:0014010; GO:0007519; GO:0048745; GO:0021510; GO:0072089; GO:0048485; GO:1904738; GO:1990874; GO:0008542; GO:0042060
P97526,GO:0030424; GO:0005737; GO:0030425; GO:0016020; GO:0043005; GO:0005730; GO:0005634; GO:0014069; GO:0098793; GO:0032991; GO:0005096; GO:0008017; GO:0031210; GO:0008429; GO:0045545; GO:0030036; GO:0030325; GO:0021764; GO:0048844; GO:0007420; GO:0048593; GO:0007154; GO:0071549; GO:0034605; GO:1990090; GO:0021987; GO:0050890; GO:0030199; GO:0030198; GO:0008625; GO:0021897; GO:0048853; GO:0061534; GO:0061535; GO:0048820; GO:0007507; GO:0001889; GO:0000165; GO:0001656; GO:0022011; GO:0016525; GO:0048712; GO:0030336; GO:0008285; GO:0001953; GO:0001937; GO:0048147; GO:0043407; GO:0043409; GO:0007406; GO:0046929; GO:0048715; GO:0045671; GO:0042308; GO:0006469; GO:0035021; GO:0046580; GO:0021915; GO:0098597; GO:0001649; GO:0007422; GO:0014065; GO:0043473; GO:0045762; GO:0043065; GO:0001938; GO:2001241; GO:0043547; GO:0043525; GO:0010976; GO:0007265; GO:0045765; GO:0043535; GO:0045124; GO:0042127; GO:0001952; GO:0010468; GO:0045685; GO:0043087; GO:0048169; GO:1900271; GO:0043408; GO:0045664; GO:0032228; GO:0001666; GO:0014044; GO:0014037; GO:0007519; GO:0048745; GO:0021510; GO:0048485; GO:0008542; GO:0042060
Q5ZL67,GO:0005789; GO:0030176; GO:0016021; GO:0005634; GO:0015485; GO:0001228; GO:0000981; GO:0001227; GO:0008289; GO:0000978; GO:0045454; GO:0071397; GO:0034599; GO:0042632; GO:0008203; GO:0055088; GO:0000122; GO:0097201; GO:0036003; GO:1901329; GO:0006357
O88942,GO:0000785; GO:0005737; GO:0016604; GO:0005654; GO:0005634; GO:0005667; GO:0003682; GO:0003677; GO:0001228; GO:0000981; GO:0140297; GO:0001227; GO:0048273; GO:0000978; GO:0061629; GO:0043565; GO:1990837; GO:0003176; GO:0003180; GO:0002337; GO:0060854; GO:0033173; GO:0006816; GO:0003197; GO:0001837; GO:0000082; GO:0007507; GO:0061384; GO:0003170; GO:0003179; GO:0035556; GO:0043616; GO:0001946; GO:0010839; GO:0045668; GO:2000647; GO:0000122; GO:1905064; GO:0030316; GO:0010628; GO:0045944; GO:0045893; GO:0003177; GO:0003184; GO:0042634; GO:0006357; GO:1905314; GO:0072089; GO:0006366; GO:0014883; GO:0060412
O42414,GO:0030424; GO:0016021; GO:0005886; GO:0098632; GO:0007411; GO:0070593; GO:0007156; GO:0042552; GO:0007422; GO:0050808; GO:0019226
Q810U3,GO:0030424; GO:0043194; GO:0030425; GO:0005887; GO:0043209; GO:0033268; GO:0033010; GO:0033270; GO:0005886; GO:0097454; GO:0005918; GO:0098632; GO:0086080; GO:0019904; GO:0007411; GO:0007420; GO:0098609; GO:0045162; GO:0030913; GO:0007422; GO:0071205; GO:0002175; GO:0072659; GO:0050808; GO:0019226
Q12857,GO:0030054; GO:0000785; GO:0005654; GO:0005634; GO:0003682; GO:0001228; GO:0003700; GO:0000981; GO:0140297; GO:0000978; GO:0006260; GO:0045944; GO:0006357; GO:0006355; GO:0060074; GO:0072189; GO:0019079
Q02780,GO:0030054; GO:0005654; GO:0005634; GO:0003682; GO:0003677; GO:0001228; GO:0000981; GO:0140297; GO:0000978; GO:0006260; GO:0045944; GO:0045893; GO:0006357; GO:0060074; GO:0072189
P97863,GO:0044300; GO:0001650; GO:0005654; GO:0005634; GO:0003677; GO:0001228; GO:0000981; GO:0003690; GO:0000978; GO:1990837; GO:0140416; GO:0021960; GO:0007420; GO:0060689; GO:0008283; GO:0002062; GO:0060486; GO:0071679; GO:0006260; GO:0030900; GO:0002067; GO:0010001; GO:0030902; GO:0061141; GO:0030324; GO:0043392; GO:2000795; GO:2000791; GO:1902894; GO:2000647; GO:0000122; GO:0045944; GO:0045893; GO:0021740; GO:0006357; GO:0009617; GO:0060662; GO:0072089; GO:0060509; GO:0060510
P08651,GO:0000785; GO:0001650; GO:0005654; GO:0005634; GO:0001228; GO:0003700; GO:0000981; GO:0000978; GO:1990837; GO:0006260; GO:0000122; GO:0045944; GO:0006357; GO:0006366
P14057,GO:0005634; GO:0003677; GO:0003700; GO:0006260; GO:0045893
Q9BT67,GO:0070161; GO:0005938; GO:0030425; GO:0005783; GO:0010008; GO:0005576; GO:0005794; GO:0000139; GO:0016021; GO:0048471; GO:0045202; GO:0050699; GO:0035739; GO:0006879; GO:0030001; GO:2000562; GO:0010629; GO:0050728; GO:0032713; GO:0048294; GO:0051224; GO:0032410; GO:0002829; GO:0043123; GO:0045732; GO:0031398; GO:0048302; GO:0045619; GO:0002761; GO:0006511; GO:0007034
Q5U2S1,GO:0070161; GO:0005938; GO:0030425; GO:0005783; GO:0010008; GO:0005576; GO:0005794; GO:0000139; GO:0016021; GO:0048471; GO:0045202; GO:0050699; GO:0006879; GO:0030001; GO:0010629; GO:0050728; GO:0032713; GO:0048294; GO:0051224; GO:0042130; GO:0032410; GO:0002829; GO:0045732; GO:0031398; GO:0048302; GO:0045619; GO:0002761; GO:0006511; GO:0007034
Q6GLN5,GO:0000139; GO:0016021; GO:0030001; GO:0007034
Q14938,GO:0000785; GO:0005634; GO:0003700; GO:0000981; GO:0000978; GO:1990837; GO:0006260; GO:0000122; GO:0045944; GO:0006357; GO:0006366
Q02916,GO:0030424; GO:1904115; GO:0005883; GO:0042802; GO:0008022; GO:0005200; GO:0008089; GO:0061564; GO:0019896; GO:0045109; GO:0033693; GO:0008090
P19527,GO:0030424; GO:1904115; GO:0098981; GO:0005737; GO:0005829; GO:0030426; GO:0005882; GO:0005883; GO:0031594; GO:0043005; GO:0099160; GO:0099182; GO:0098685; GO:0042802; GO:0043274; GO:0008022; GO:0019904; GO:0044877; GO:0030674; GO:0005200; GO:0099184; GO:0008089; GO:0019896; GO:0007409; GO:0021987; GO:0021766; GO:0045110; GO:0045109; GO:0045105; GO:0040011; GO:0000226; GO:0097049; GO:2000672; GO:0043524; GO:0033693; GO:0060052; GO:0050885; GO:0048812; GO:0014012; GO:0050772; GO:0051258; GO:0031133; GO:1903937; GO:0051412; GO:0010033; GO:0043434; GO:1903935; GO:0009636; GO:0008090; GO:0021510; GO:0060074
Q9Y697,GO:0005829; GO:1990229; GO:0005759; GO:0005739; GO:0005654; GO:0005634; GO:0031071; GO:0051536; GO:0046872; GO:0042803; GO:0030170; GO:0044571; GO:0018283; GO:0016226; GO:0006777
Q99P39,GO:0005829; GO:0005759; GO:0005739; GO:0005634; GO:0031071; GO:0051536; GO:0046872; GO:0042803; GO:0030170; GO:0044571; GO:0018283; GO:0016226; GO:0006777
Q2T9R6,GO:0005737; GO:0106008; GO:0050152; GO:0006528; GO:0006541; GO:0006107
P30098,GO:0005887; GO:0004995; GO:0004888; GO:0007166; GO:0007186
P29371,GO:0005737; GO:0032590; GO:0005887; GO:0032809; GO:0005634; GO:0005886; GO:0097225; GO:0004995; GO:0007568; GO:0042538; GO:0045777; GO:1902093; GO:0010460; GO:0070474; GO:0042053; GO:0060259; GO:0042220; GO:0032355; GO:0043278; GO:0007217
O97512,GO:0016021; GO:0005886; GO:0004995
Q4KMZ8,GO:0016021; GO:0005886; GO:0051117; GO:0002028
Q5VXU1,GO:0016021; GO:0005886; GO:0002028
Q3URJ8,GO:0016021; GO:0016020; GO:0005886; GO:0002028
Q6DEX3,GO:0016021; GO:0005886; GO:0002028
Q9C056,GO:0000785; GO:0005634; GO:0003677; GO:0003700; GO:0000981; GO:0001227; GO:0000978; GO:1990837; GO:0030154; GO:0022010; GO:0010454; GO:0048715; GO:0045892; GO:0050885; GO:0048663; GO:0003310; GO:0010455; GO:0048714; GO:0031641; GO:0006357; GO:0006355
Q9NVX2,GO:0005730; GO:0005654; GO:0061484; GO:0001826; GO:0001822; GO:0000278; GO:2001268; GO:0045930; GO:0007219; GO:0090263; GO:0000027; GO:0048705; GO:0001756
Q8N2Q7,GO:0070161; GO:0098985; GO:0009986; GO:0030425; GO:0043197; GO:0060076; GO:0032433; GO:0098982; GO:0098978; GO:0005794; GO:0060077; GO:0005887; GO:0099055; GO:0099060; GO:0031594; GO:0098984; GO:0005886; GO:0098794; GO:0014069; GO:0098793; GO:0098635; GO:0043235; GO:0089717; GO:0045202; GO:0043083; GO:0001540; GO:0050839; GO:0042802; GO:0042043; GO:0030165; GO:0097110; GO:0038023; GO:0097113; GO:0016339; GO:0090125; GO:0071277; GO:0007268; GO:0048789; GO:0045184; GO:1904861; GO:0007157; GO:0099558; GO:0050804; GO:0061002; GO:0007399; GO:0097115; GO:0007158; GO:0140058; GO:0031175; GO:0048812; GO:0023041; GO:0097114; GO:0010841; GO:0060999; GO:2000463; GO:0051491; GO:1902533; GO:1900075; GO:0010976; GO:1900029; GO:0051965; GO:0032230; GO:0051968; GO:1900244; GO:2000302; GO:0097119; GO:0097104; GO:0099054; GO:0097105; GO:0035418; GO:0006605; GO:0097120; GO:2000311; GO:0045664; GO:2000310; GO:0048511; GO:0007416; GO:0060074; GO:0097091; GO:0048488; GO:0016080; GO:0072553
Q69ZK9,GO:0070161; GO:0009986; GO:0005737; GO:0043198; GO:0098691; GO:0060076; GO:0098982; GO:0098690; GO:0060077; GO:0005887; GO:0099055; GO:0099060; GO:0005886; GO:0045211; GO:0042734; GO:0097470; GO:0045202; GO:0050839; GO:0042802; GO:0042043; GO:0038023; GO:0007420; GO:0007268; GO:0097116; GO:1904862; GO:1901142; GO:0007630; GO:0035641; GO:0050804; GO:0050885; GO:0007158; GO:0072578; GO:0008284; GO:0060999; GO:2000463; GO:0097151; GO:0032024; GO:1902474; GO:0051965; GO:0032230; GO:0051968; GO:2000809; GO:1904034; GO:0097119; GO:0097104; GO:0098698; GO:0097105; GO:0034394; GO:0035418; GO:2000311; GO:1905606; GO:0002087; GO:0019233; GO:0035176; GO:0007416; GO:0050808; GO:0051932; GO:0048488; GO:0072553; GO:0001966
Q9NZ94,GO:0070161; GO:0098985; GO:0009986; GO:0030139; GO:0060076; GO:0005887; GO:0099055; GO:0099060; GO:0005886; GO:0098793; GO:0089717; GO:0098983; GO:0045202; GO:0050839; GO:0042043; GO:0097110; GO:0038023; GO:0030534; GO:0048675; GO:0007268; GO:0060080; GO:0007612; GO:0050804; GO:0007158; GO:2000969; GO:2000463; GO:0051965; GO:0051968; GO:0097104; GO:0099054; GO:0097105; GO:0006898; GO:0002087; GO:0060024; GO:0035176; GO:0007416; GO:0050808; GO:0048488; GO:0071625
Q8BYM5,GO:0070161; GO:0009986; GO:0030425; GO:0030139; GO:0060076; GO:0098982; GO:0098978; GO:0060077; GO:0005887; GO:0099055; GO:0099060; GO:0043025; GO:0098793; GO:0045202; GO:0050839; GO:0042043; GO:0097110; GO:0038023; GO:0030534; GO:0048675; GO:0007268; GO:0042745; GO:0060079; GO:0060080; GO:0007612; GO:0060291; GO:0050804; GO:0061002; GO:0090394; GO:0007158; GO:0048709; GO:2000969; GO:0060999; GO:2000463; GO:0097151; GO:1902474; GO:0051965; GO:0051968; GO:2000809; GO:0097104; GO:0098698; GO:0060134; GO:0097105; GO:0006898; GO:2000311; GO:0061001; GO:1900271; GO:2000310; GO:0002087; GO:0051966; GO:2000331; GO:0060024; GO:0035176; GO:0007416; GO:0050808; GO:0048488; GO:0008542; GO:0071625
Q8N0W4,GO:0070161; GO:0098985; GO:0009986; GO:0030425; GO:0060076; GO:0016021; GO:0005887; GO:0099060; GO:0005886; GO:0098839; GO:0098793; GO:0089717; GO:0098983; GO:0045202; GO:0050839; GO:0031404; GO:0042043; GO:0042803; GO:0097110; GO:0038023; GO:0030534; GO:0003360; GO:0045216; GO:0021549; GO:0007268; GO:0007612; GO:0050804; GO:0090394; GO:0007158; GO:0030182; GO:0035265; GO:0097104; GO:0099054; GO:0097105; GO:0035176; GO:0050808; GO:0048488; GO:0071625
Q8QGV6,GO:0005737; GO:0005634; GO:0005524; GO:0140297; GO:0000287; GO:0004707; GO:0106310; GO:0004674; GO:0031625; GO:0009952; GO:0001707; GO:0007399; GO:0018105; GO:0018107; GO:0031398; GO:0042501; GO:0007179; GO:0016055
B1H3E1,GO:0005737; GO:0005634; GO:0005524; GO:0140297; GO:0000287; GO:0004707; GO:0106310; GO:0004674; GO:0031625; GO:0009952; GO:0035556; GO:0001707; GO:0007399; GO:0018105; GO:0018107; GO:0031398; GO:0042501; GO:0007179; GO:0016055
E2QWQ2,GO:0005737; GO:0005634; GO:0005524; GO:0140297; GO:0000287; GO:0004707; GO:0106310; GO:0004674; GO:0042169; GO:0031625; GO:0035556; GO:0030178; GO:0018107; GO:0046777; GO:0050821; GO:0006355; GO:0042501; GO:0007179; GO:0016055
F1NCD6,GO:0005789; GO:0005887; GO:0051978; GO:0008643; GO:0071702
Q8TCU5,GO:0070161; GO:0005789; GO:0098978; GO:0016021; GO:0099061; GO:0016020; GO:0043005; GO:0043025; GO:0017146; GO:0005886; GO:0045202; GO:0005262; GO:0016594; GO:0042802; GO:0015276; GO:0042165; GO:0004972; GO:0051721; GO:0038023; GO:1904315; GO:0006816; GO:0016358; GO:0035235; GO:0061000; GO:0060134; GO:2000300; GO:0045471; GO:0048511
Q6P2Z6,GO:0005737; GO:0005730; GO:0005654; GO:0005634; GO:0043023; GO:0015031; GO:0000055
Q13224,GO:0070161; GO:0009986; GO:0005737; GO:0005856; GO:0005789; GO:0005887; GO:0005770; GO:0005764; GO:0043005; GO:0017146; GO:0005886; GO:0014069; GO:0098839; GO:0045211; GO:0097060; GO:0001540; GO:0016595; GO:0022849; GO:0016594; GO:0015276; GO:0004972; GO:0038023; GO:0008270; GO:0007420; GO:0097553; GO:0098655; GO:0007268; GO:0098976; GO:0060079; GO:0007215; GO:0035235; GO:0007611; GO:0060291; GO:1902951; GO:2001056; GO:2000463; GO:1901216; GO:0051968; GO:0051290; GO:1904062; GO:0048168; GO:0048167; GO:0045471
Q5R1P0,GO:0070161; GO:0005887; GO:0043005; GO:0017146; GO:0005886; GO:0014069; GO:0045211; GO:0045202; GO:0016594; GO:0015276; GO:0004972; GO:0038023; GO:0007268; GO:0035235; GO:0051290; GO:0042391; GO:0042221
Q9BZQ4,GO:0030424; GO:0030659; GO:0005829; GO:0005794; GO:0000139; GO:0005770; GO:0045202; GO:0005802; GO:0005524; GO:0000309; GO:0004515; GO:0009435; GO:0009165
P30419,GO:0005737; GO:0005829; GO:0019898; GO:0005739; GO:0005886; GO:0004379; GO:0019107; GO:0018030; GO:0042180; GO:0001701; GO:0018008; GO:0006499; GO:1900740; GO:0022400
O60551,GO:0005737; GO:0005829; GO:0019898; GO:0005794; GO:0043657; GO:0005886; GO:0004379; GO:0018030; GO:0075733; GO:0018008; GO:0022400
P11024,GO:0016021; GO:0005743; GO:0051287; GO:0008746; GO:0050661; GO:0006740; GO:1902600; GO:0072593
Q13423,GO:0016021; GO:0016020; GO:0005743; GO:0005746; GO:0005739; GO:0051287; GO:0003957; GO:0008746; GO:0050661; GO:0006740; GO:1902600; GO:0072593; GO:0006099
W5PFI3,GO:0016021; GO:0005743; GO:0042802; GO:0008746; GO:1902600
Q6DFH9,GO:0005730; GO:0005654; GO:0003723; GO:0042255
Q7RTP0,GO:0005769; GO:0016021; GO:0016020; GO:0005886; GO:0015095; GO:0015693; GO:0055085
Q5R7Q3,GO:0005769; GO:0016021; GO:0005886; GO:0015095
Q6KC79,GO:0000785; GO:0005829; GO:0070062; GO:0032039; GO:0043231; GO:0005654; GO:0005634; GO:0090694; GO:0032116; GO:0003682; GO:0070087; GO:0042826; GO:0036033; GO:1990841; GO:0008022; GO:0047485; GO:0007420; GO:0006974; GO:0071481; GO:0050890; GO:0071921; GO:0048589; GO:0048565; GO:0042471; GO:0048557; GO:0035115; GO:0048703; GO:0034087; GO:0071169; GO:0035261; GO:0048592; GO:0060325; GO:0045444; GO:0035136; GO:0061010; GO:0003007; GO:0034088; GO:0001656; GO:0061780; GO:0007064; GO:0000122; GO:0045892; GO:0003151; GO:0031065; GO:0040018; GO:2001224; GO:0045778; GO:0045944; GO:0008104; GO:0048638; GO:0045995; GO:0042634; GO:1990414; GO:0007605; GO:0035019; GO:0061038
O55125,GO:0016020; GO:0005743; GO:0005739; GO:0097060; GO:0042165; GO:0019233
O75323,GO:0005741; GO:0005739; GO:0007005; GO:0006119; GO:1901843
O55126,GO:0005737; GO:0005741; GO:0005739; GO:0007005; GO:0006119; GO:1901843
P23511,GO:0016602; GO:0000785; GO:0005654; GO:0005634; GO:0032993; GO:0090575; GO:0003677; GO:0003700; GO:0000981; GO:0000978; GO:0080182; GO:0045944; GO:0045893; GO:0035065; GO:0006357; GO:0006355; GO:0048511; GO:0006366
P23708,GO:0016602; GO:0005654; GO:0005634; GO:0032993; GO:0090575; GO:0003677; GO:0001228; GO:0003700; GO:0000981; GO:0000978; GO:0043565; GO:0000976; GO:0001221; GO:0080182; GO:0045944; GO:0045893; GO:0035065; GO:0006357; GO:0006355; GO:0048511
P25207,GO:0016602; GO:0001228; GO:0000981; GO:0046982; GO:0043565; GO:0006357
Q5E9X1,GO:0016602; GO:0005654; GO:0005634; GO:0032993; GO:0001228; GO:0046982; GO:0000978; GO:0080182; GO:0035065; GO:0006355
Q8N5V2,GO:0005829; GO:0030426; GO:0016020; GO:0005085; GO:0090630; GO:0030154; GO:0048013; GO:0061002; GO:0007399; GO:0043087; GO:0051056
Q3HXY0,GO:0005576; GO:0008083; GO:0008289; GO:0008191; GO:0090729
Q3HXY9,GO:0005576; GO:0008083; GO:0008289; GO:0008191; GO:0090729
Q3HXX6,GO:0005576; GO:0008083; GO:0008289; GO:0008191; GO:0090729
Q9DEZ9,GO:0005576; GO:0008083; GO:0008289; GO:0008191; GO:0090729
P30894,GO:0005576; GO:0008083; GO:0008289; GO:0008191; GO:0090729
Q5XH16,GO:0005730; GO:0005634; GO:0071005; GO:0046540; GO:0005690; GO:0030622; GO:0000398; GO:0042254
Q9NX24,GO:0072589; GO:0031429; GO:0090661; GO:0000781; GO:0005654; GO:0005732; GO:0005697; GO:0034513; GO:0003730; GO:0003723; GO:0070034; GO:0034511; GO:0000469; GO:0000470; GO:1904874; GO:0031118; GO:0000454; GO:0031120; GO:0007004
