Orthogroup,Gene,Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (S),P-value (S),Adj. P-value (S),Signal
OG0012160,NPR3,bsA1/bsA,122.746,0,0,M1/M2,0,1,1,PS_fg
OG0007242,BRMS1L,bsA1/bsA,3.468,0.063,0.13,M1/M2,0,1,1,no_PS
OG0013403,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013383,RAB5IF,bsA1/bsA,26.631,0,0,M1/M2,0,1,1,PS_fg
OG0008173,LRRC41,bsA1/bsA,0.103,0.749,1,M1/M2,0,1,1,no_PS
OG0007810,SNX17,bsA1/bsA,23.875,0,0,M1/M2,0.001,0.999,1,PS_fg
OG0007660,,bsA1/bsA,6.757,0.009,0.022,M1/M2,111.503,0,0,PS_bg
OG0007068,CCDC166,bsA1/bsA,0,1,1,M1/M2,23.482,0,0,PS_bg
OG0014126,ADAMTS14,bsA1/bsA,9.611,0.002,0.005,M1/M2,28.854,0,0,PS_fg_bg
OG0007277,HYAL1,bsA1/bsA,6.591,0.01,0.024,M1/M2,4.585,0.101,0.371,no_PS
OG0012358,TBXAS1,bsA1/bsA,561.521,0,0,M1/M2,0.148,0.929,1,PS_fg
OG0007629,FAM98C,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0006252,SMPDL3B,bsA1/bsA,0,1,1,M1/M2,12.291,0.002,0.014,no_PS
OG0005953,DBR1,bsA1/bsA,41.072,0,0,M1/M2,1.639,0.441,1,PS_fg
OG0012192,GALNT10,bsA1/bsA,55.329,0,0,M1/M2,0.005,0.997,1,PS_fg
OG0013417,CNOT2,bsA1/bsA,10.752,0.001,0.003,M1/M2,0.001,1,1,PS_fg
OG0007452,BRAP,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005677,ERG,bsA1/bsA,17.114,0,0,M1/M2,58.766,0,0,PS_fg_bg
OG0005407,NPFFR1,bsA1/bsA,143.664,0,0,M1/M2,0,1,1,PS_fg
OG0009203,CEP250,bsA1/bsA,18.261,0,0,M1/M2,14.973,0.001,0.004,PS_fg_bg
OG0006572,RPL7,bsA1/bsA,25.412,0,0,M1/M2,0,1,1,PS_fg
OG0011190,MCU,bsA1/bsA,44.327,0,0,M1/M2,6.168,0.046,0.195,PS_fg
OG0010711,AMOTL1,bsA1/bsA,0.435,0.51,0.874,M1/M2,0,1,1,no_PS
OG0009646,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008616,SIX6,bsA1/bsA,0.002,0.963,1,M1/M2,0,1,1,no_PS
OG0006019,NUDT12,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011082,TNS1,bsA1/bsA,181.366,0,0,M1/M2,0.072,0.965,1,PS_fg
OG0010103,NES,bsA1/bsA,5.542,0.019,0.042,M1/M2,18.993,0,0.001,PS_bg
OG0010147,TM4SF4,bsA1/bsA,0,0.995,1,M1/M2,58.998,0,0,PS_bg
OG0008595,,bsA1/bsA,108.597,0,0,M1/M2,1.463,0.481,1,PS_fg
OG0012717,CHP2,bsA1/bsA,,,,M1/M2,1.029,0.598,1,poor_fit
OG0009233,STMN2,bsA1/bsA,72.608,0,0,M1/M2,9.772,0.008,0.042,PS_fg
OG0010876,TECRL,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007985,ZIC4,bsA1/bsA,0,1,1,M1/M2,3.057,0.217,0.676,no_PS
OG0011273,NSF,bsA1/bsA,7.799,0.005,0.013,M1/M2,12.661,0.002,0.012,no_PS
OG0013017,,bsA1/bsA,29.175,0,0,M1/M2,19.387,0,0.001,PS_fg_bg
OG0009260,ZNF148,bsA1/bsA,,,,M1/M2,0.056,0.973,1,poor_fit
OG0006681,,bsA1/bsA,,,,M1/M2,9.648,0.008,0.045,poor_fit
OG0013709,NENF,bsA1/bsA,0.121,0.728,1,M1/M2,0.479,0.787,1,no_PS
OG0013787,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010001,DCDC2B,bsA1/bsA,33.582,0,0,M1/M2,40.199,0,0,PS_fg_bg
OG0009539,GMDS,bsA1/bsA,26.534,0,0,M1/M2,9.274,0.01,0.052,PS_fg
OG0011967,PACSIN2,bsA1/bsA,579.937,0,0,M1/M2,0.082,0.96,1,PS_fg
OG0007286,ATP6V0A1,bsA1/bsA,0,1,1,M1/M2,5.139,0.077,0.298,no_PS
OG0008506,EGR1,bsA1/bsA,25.688,0,0,M1/M2,1.234,0.54,1,PS_fg
OG0013495,UBN2,bsA1/bsA,0,1,1,M1/M2,10.284,0.006,0.034,no_PS
OG0012099,GRTP1,bsA1/bsA,0.048,0.827,1,M1/M2,0,1,1,no_PS
OG0008792,ABRAXAS2,bsA1/bsA,0.016,0.901,1,M1/M2,0,1,1,no_PS
OG0009484,DNAJC25,bsA1/bsA,49.262,0,0,M1/M2,3.779,0.151,0.51,PS_fg
OG0010752,SRRM2,bsA1/bsA,47.116,0,0,M1/M2,8.965,0.011,0.06,PS_fg
OG0009110,ADCY6,bsA1/bsA,0,0.993,1,M1/M2,5.458,0.065,0.262,no_PS
OG0009187,WARS2,bsA1/bsA,0.004,0.951,1,M1/M2,0.004,0.998,1,no_PS
OG0008520,SUMF1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012541,ONECUT1,bsA1/bsA,0.042,0.838,1,M1/M2,0,1,1,no_PS
OG0007663,HUNK,bsA1/bsA,0,1,1,M1/M2,0.003,0.998,1,no_PS
OG0007732,TPR,bsA1/bsA,30.568,0,0,M1/M2,0.413,0.814,1,PS_fg
OG0006847,SMARCC2,bsA1/bsA,52.699,0,0,M1/M2,0.003,0.999,1,PS_fg
OG0010067,RAB36,bsA1/bsA,0,1,1,M1/M2,54.172,0,0,PS_bg
OG0013427,SALL3,bsA1/bsA,1.587,0.208,0.384,M1/M2,0,1,1,no_PS
OG0009865,DRAM1,bsA1/bsA,0,1,1,M1/M2,0.221,0.895,1,no_PS
OG0012120,SWAP70,bsA1/bsA,18.373,0,0,M1/M2,0.024,0.988,1,PS_fg
OG0008691,METTL23,bsA1/bsA,0,1,1,M1/M2,0.97,0.616,1,no_PS
OG0008025,SKOR2,bsA1/bsA,70.065,0,0,M1/M2,0,1,1,PS_fg
OG0013286,HTR7,bsA1/bsA,19.755,0,0,M1/M2,0,1,1,PS_fg
OG0012367,NR4A3,bsA1/bsA,0.022,0.883,1,M1/M2,0.268,0.875,1,no_PS
OG0009700,POP4,bsA1/bsA,53.424,0,0,M1/M2,0,1,1,PS_fg
OG0013526,ORC3,bsA1/bsA,11.198,0.001,0.002,M1/M2,9.673,0.008,0.044,PS_fg
OG0014158,DSP,bsA1/bsA,138.975,0,0,M1/M2,0,1,1,PS_fg
OG0009364,COPS7B,bsA1/bsA,37.123,0,0,M1/M2,0,1,1,PS_fg
OG0007531,ERAP1,bsA1/bsA,0.902,0.342,0.604,M1/M2,3.725,0.155,0.521,no_PS
OG0006328,SULT1B1,bsA1/bsA,0,1,1,M1/M2,4.221,0.121,0.429,no_PS
OG0012794,PDS5B,bsA1/bsA,0,0.999,1,M1/M2,16.331,0,0.002,PS_bg
OG0010785,SPOCK1,bsA1/bsA,0,1,1,M1/M2,5.888,0.053,0.219,no_PS
OG0013074,CMC2,bsA1/bsA,185.396,0,0,M1/M2,0.005,0.998,1,PS_fg
OG0010907,TAF8,bsA1/bsA,89.226,0,0,M1/M2,6.928,0.031,0.143,PS_fg
OG0007292,SFT2D2,bsA1/bsA,2.553,0.11,0.217,M1/M2,2.621,0.27,0.795,no_PS
OG0013011,ZBTB18,bsA1/bsA,0,1,1,M1/M2,0.001,1,1,no_PS
OG0010703,DCAF10,bsA1/bsA,0.065,0.798,1,M1/M2,0,1,1,no_PS
OG0012104,BHLHE40,bsA1/bsA,0,1,1,M1/M2,0.002,0.999,1,no_PS
OG0012456,AVPR1B,bsA1/bsA,0.036,0.849,1,M1/M2,0,1,1,no_PS
OG0011328,NSUN6,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009518,USF2,bsA1/bsA,34.991,0,0,M1/M2,27.121,0,0,PS_fg_bg
OG0014083,,bsA1/bsA,2.696,0.101,0.2,M1/M2,1.933,0.38,1,no_PS
OG0012694,NANOS2,bsA1/bsA,2.882,0.09,0.18,M1/M2,18.987,0,0.001,PS_bg
OG0012114,NRIP3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007840,STX1A,bsA1/bsA,,,,M1/M2,0.001,1,1,poor_fit
OG0006403,PNPT1,bsA1/bsA,13.088,0,0.001,M1/M2,2.823,0.244,0.738,PS_fg
OG0011963,TRMU,bsA1/bsA,2.852,0.091,0.183,M1/M2,0.068,0.967,1,no_PS
OG0005557,NR2C2,bsA1/bsA,53.121,0,0,M1/M2,0,1,1,PS_fg
OG0008828,HOXA13,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013626,RRP12,bsA1/bsA,14.115,0,0,M1/M2,0,1,1,PS_fg
OG0011955,ZFP91,bsA1/bsA,23.818,0,0,M1/M2,0,1,1,PS_fg
OG0014312,,bsA1/bsA,218.212,0,0,M1/M2,0,1,1,PS_fg
OG0013839,RPL13,bsA1/bsA,0,1,1,M1/M2,0.001,0.999,1,no_PS
OG0012043,,bsA1/bsA,46.164,0,0,M1/M2,0,1,1,PS_fg
OG0006767,BAG4,bsA1/bsA,15.001,0,0,M1/M2,0.04,0.98,1,PS_fg
OG0006168,AQP6,bsA1/bsA,0,1,1,M1/M2,2.064,0.356,0.972,no_PS
OG0009558,SHFL CUNH19ORF66,bsA1/bsA,3.149,0.076,0.155,M1/M2,13.068,0.001,0.01,PS_bg
OG0009958,FAM3C,bsA1/bsA,0,1,1,M1/M2,0.008,0.996,1,no_PS
OG0006042,PDE1A,bsA1/bsA,,,,M1/M2,0.413,0.813,1,poor_fit
OG0007004,METTL1,bsA1/bsA,0.053,0.818,1,M1/M2,0,1,1,no_PS
OG0010969,UTP18,bsA1/bsA,0,0.999,1,M1/M2,45.822,0,0,PS_bg
OG0010122,VPS45,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009088,SYBU,bsA1/bsA,0,0.998,1,M1/M2,8.384,0.015,0.077,no_PS
OG0008145,,bsA1/bsA,0,1,1,M1/M2,0.113,0.945,1,no_PS
OG0012833,ZDHHC13,bsA1/bsA,278.993,0,0,M1/M2,15.464,0,0.003,PS_fg_bg
OG0013520,ZNF292,bsA1/bsA,6.459,0.011,0.026,M1/M2,2.243,0.326,0.913,no_PS
OG0009722,KLC1,bsA1/bsA,458.981,0,0,M1/M2,0.001,1,1,PS_fg
OG0011277,ACBD4,bsA1/bsA,0,1,1,M1/M2,2.17,0.338,0.933,no_PS
OG0010563,TDRD6,bsA1/bsA,132.69,0,0,M1/M2,9.826,0.007,0.041,PS_fg
OG0009613,LRRC10B,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011160,,bsA1/bsA,0,1,1,M1/M2,9.554,0.008,0.046,no_PS
OG0008194,TRIM69,bsA1/bsA,19.13,0,0,M1/M2,2.466,0.291,0.841,PS_fg
OG0008671,MRPL38,bsA1/bsA,0,1,1,M1/M2,3.914,0.141,0.483,no_PS
OG0008636,,bsA1/bsA,31.351,0,0,M1/M2,35.109,0,0,PS_fg_bg
OG0010055,POP5,bsA1/bsA,37.933,0,0,M1/M2,0,1,1,PS_fg
OG0010898,TFEB,bsA1/bsA,0,0.997,1,M1/M2,1.045,0.593,1,no_PS
OG0006553,PCDH9,bsA1/bsA,0.06,0.807,1,M1/M2,19.846,0,0,PS_bg
OG0012720,MRPS9,bsA1/bsA,0,1,1,M1/M2,1.67,0.434,1,no_PS
OG0012713,CLIP3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013501,TIMM21,bsA1/bsA,0.121,0.728,1,M1/M2,4.715,0.095,0.353,no_PS
OG0012635,ADAM22,bsA1/bsA,76.316,0,0,M1/M2,25.773,0,0,PS_fg_bg
OG0014286,MSANTD2,bsA1/bsA,0,1,1,M1/M2,3.093,0.213,0.666,no_PS
OG0013543,ZNHIT6,bsA1/bsA,,,,M1/M2,1.259,0.533,1,poor_fit
OG0013038,DNAJB6,bsA1/bsA,324.19,0,0,M1/M2,0.007,0.997,1,PS_fg
OG0011492,PPM1M,bsA1/bsA,3.323,0.068,0.141,M1/M2,1.161,0.56,1,no_PS
OG0013630,HPS6,bsA1/bsA,109.653,0,0,M1/M2,0,1,1,PS_fg
OG0006629,TMEM200A,bsA1/bsA,0,1,1,M1/M2,0.001,0.999,1,no_PS
OG0012176,ADRB1,bsA1/bsA,0,1,1,M1/M2,6.596,0.037,0.165,no_PS
OG0013429,PLK2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007675,MIOS,bsA1/bsA,0,1,1,M1/M2,6.952,0.031,0.142,no_PS
OG0007401,NEIL2,bsA1/bsA,222.381,0,0,M1/M2,0,1,1,PS_fg
OG0010730,ZBTB47,bsA1/bsA,2.63,0.105,0.208,M1/M2,0,1,1,no_PS
OG0010525,C1QTNF6,bsA1/bsA,3.277,0.07,0.144,M1/M2,1.99,0.37,0.999,no_PS
OG0010090,DNAJB4,bsA1/bsA,0,1,1,M1/M2,0.043,0.979,1,no_PS
OG0012608,LEF1,bsA1/bsA,64.237,0,0,M1/M2,3.699,0.157,0.525,PS_fg
OG0007450,PHETA1,bsA1/bsA,98.677,0,0,M1/M2,0,1,1,PS_fg
OG0008941,MUL1,bsA1/bsA,149.026,0,0,M1/M2,0,1,1,PS_fg
OG0012031,DHRS7B,bsA1/bsA,53.77,0,0,M1/M2,0,1,1,PS_fg
OG0013582,RNPEP,bsA1/bsA,16.846,0,0,M1/M2,2.432,0.296,0.851,PS_fg
OG0008770,INPP5F,bsA1/bsA,0,1,1,M1/M2,4.121,0.127,0.446,no_PS
OG0007120,JPH2,bsA1/bsA,2.416,0.12,0.235,M1/M2,0.9,0.638,1,no_PS
OG0007692,NIPAL4,bsA1/bsA,73.843,0,0,M1/M2,9.078,0.011,0.057,PS_fg
OG0007710,TRERF1,bsA1/bsA,189.398,0,0,M1/M2,0,1,1,PS_fg
OG0013766,DUSP11,bsA1/bsA,0,1,1,M1/M2,3.156,0.206,0.65,no_PS
OG0014082,PPME1,bsA1/bsA,159.455,0,0,M1/M2,0,1,1,PS_fg
OG0007554,ATP5F1D,bsA1/bsA,0,1,1,M1/M2,0.002,0.999,1,no_PS
OG0013194,HEATR4,bsA1/bsA,9.857,0.002,0.004,M1/M2,195.138,0,0,PS_fg_bg
OG0009871,ASCL1,bsA1/bsA,0,0.998,1,M1/M2,1.072,0.585,1,no_PS
OG0013049,MDM1,bsA1/bsA,0,0.999,1,M1/M2,32.881,0,0,PS_bg
OG0007077,MTRES1 CUNH6ORF203,bsA1/bsA,4.455,0.035,0.075,M1/M2,0,1,1,no_PS
OG0011762,LRRK1,bsA1/bsA,55.897,0,0,M1/M2,6.189,0.045,0.193,PS_fg
OG0007916,,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0009637,VWA3B,bsA1/bsA,246.074,0,0,M1/M2,9.466,0.009,0.048,PS_fg
OG0006415,RPUSD2,bsA1/bsA,8.531,0.003,0.009,M1/M2,2.791,0.248,0.747,PS_fg
OG0010314,ANO10,bsA1/bsA,10.867,0.001,0.003,M1/M2,3.936,0.14,0.479,PS_fg
OG0011805,DTWD1,bsA1/bsA,0,1,1,M1/M2,0.114,0.945,1,no_PS
OG0012183,FARP1,bsA1/bsA,2.157,0.142,0.273,M1/M2,3.104,0.212,0.663,no_PS
OG0009633,MGAT4A,bsA1/bsA,47.725,0,0,M1/M2,0,1,1,PS_fg
OG0009251,NEIL3,bsA1/bsA,41.918,0,0,M1/M2,5.764,0.056,0.231,PS_fg
OG0010756,NDUFS3,bsA1/bsA,0,1,1,M1/M2,0.762,0.683,1,no_PS
OG0005819,IL12RB1,bsA1/bsA,48.33,0,0,M1/M2,8.194,0.017,0.084,PS_fg
OG0010043,COPS4,bsA1/bsA,0,1,1,M1/M2,0.003,0.999,1,no_PS
OG0013964,NAGK,bsA1/bsA,1.929,0.165,0.312,M1/M2,0,1,1,no_PS
OG0013093,NDRG4,bsA1/bsA,0.006,0.94,1,M1/M2,0,1,1,no_PS
OG0006487,F8,bsA1/bsA,150.304,0,0,M1/M2,2.122,0.346,0.953,PS_fg
OG0014013,SF1,bsA1/bsA,216.849,0,0,M1/M2,0,1,1,PS_fg
OG0005463,TAB2,bsA1/bsA,74.933,0,0,M1/M2,0,1,1,PS_fg
OG0010101,SLC25A46,bsA1/bsA,0.564,0.453,0.784,M1/M2,0,1,1,no_PS
OG0008360,CAB39,bsA1/bsA,,,,M1/M2,0.002,0.999,1,poor_fit
OG0008425,LEKR1,bsA1/bsA,0,1,1,M1/M2,4.645,0.098,0.363,no_PS
OG0005391,DMAC2L ATP5S,bsA1/bsA,24.741,0,0,M1/M2,0,1,1,PS_fg
OG0012497,ZBTB43,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009975,ASIC5,bsA1/bsA,2.053,0.152,0.29,M1/M2,151.497,0,0,PS_bg
OG0007095,DDO,bsA1/bsA,6.458,0.011,0.026,M1/M2,10.334,0.006,0.033,no_PS
OG0007851,PIMREG,bsA1/bsA,5.167,0.023,0.051,M1/M2,0.196,0.907,1,no_PS
OG0005504,USP44,bsA1/bsA,28.969,0,0,M1/M2,0.314,0.855,1,PS_fg
OG0009897,CNTRL,bsA1/bsA,26.957,0,0,M1/M2,0.479,0.787,1,PS_fg
OG0008606,SGPP1,bsA1/bsA,0,1,1,M1/M2,0.924,0.63,1,no_PS
OG0007257,HEATR5A,bsA1/bsA,3.733,0.053,0.112,M1/M2,0,1,1,no_PS
OG0005564,PLCXD3,bsA1/bsA,75.618,0,0,M1/M2,5.469,0.065,0.261,PS_fg
OG0010277,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011573,SEMA7A,bsA1/bsA,89.391,0,0,M1/M2,11.517,0.003,0.02,PS_fg
OG0012808,NXPH4,bsA1/bsA,0,1,1,M1/M2,47.641,0,0,PS_bg
OG0005681,VPS26C,bsA1/bsA,3.54,0.06,0.125,M1/M2,0.002,0.999,1,no_PS
OG0012369,PSMB1,bsA1/bsA,20.491,0,0,M1/M2,0.201,0.904,1,PS_fg
OG0007567,TDRD7,bsA1/bsA,0,0.999,1,M1/M2,4.752,0.093,0.348,no_PS
OG0010527,GBX2,bsA1/bsA,0,0.998,1,M1/M2,0,1,1,no_PS
OG0006849,NABP2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007607,DTNA,bsA1/bsA,11.842,0.001,0.002,M1/M2,32.202,0,0,PS_fg_bg
OG0005646,RS1,bsA1/bsA,12.556,0,0.001,M1/M2,251.152,0,0,PS_fg_bg
OG0011236,FBXO25,bsA1/bsA,0,1,1,M1/M2,0.024,0.988,1,no_PS
OG0013243,KIAA2026,bsA1/bsA,3.741,0.053,0.111,M1/M2,0.591,0.744,1,no_PS
OG0013412,ZFC3H1,bsA1/bsA,7.74,0.005,0.013,M1/M2,1.183,0.553,1,no_PS
OG0014278,TCF7L1,bsA1/bsA,0,1,1,M1/M2,6.409,0.041,0.177,no_PS
OG0009159,ACRBP,bsA1/bsA,11.74,0.001,0.002,M1/M2,32.121,0,0,PS_fg_bg
OG0005466,GINM1,bsA1/bsA,27.094,0,0,M1/M2,0,1,1,PS_fg
OG0007806,DNAJC5G,bsA1/bsA,327.978,0,0,M1/M2,4.605,0.1,0.368,PS_fg
OG0006413,BAHD1,bsA1/bsA,,,,M1/M2,1.02,0.6,1,poor_fit
OG0012881,,bsA1/bsA,10.443,0.001,0.003,M1/M2,29.625,0,0,PS_fg_bg
OG0005586,PDIA6,bsA1/bsA,8.275,0.004,0.01,M1/M2,0.296,0.862,1,PS_fg
OG0011179,FLRT3,bsA1/bsA,0,1,1,M1/M2,2.917,0.233,0.712,no_PS
OG0005743,SQSTM1,bsA1/bsA,0,1,1,M1/M2,0.863,0.65,1,no_PS
OG0010573,,bsA1/bsA,356.609,0,0,M1/M2,0.083,0.959,1,PS_fg
OG0005442,SPEGNB,bsA1/bsA,0,1,1,M1/M2,0.488,0.783,1,no_PS
OG0008436,ANKDD1B,bsA1/bsA,7.141,0.008,0.018,M1/M2,3.394,0.183,0.588,no_PS
OG0013436,MTREX,bsA1/bsA,0,0.997,1,M1/M2,52.963,0,0,PS_bg
OG0009442,METTL25,bsA1/bsA,7.913,0.005,0.012,M1/M2,0.503,0.778,1,no_PS
OG0013926,EIF4B,bsA1/bsA,185.689,0,0,M1/M2,44.468,0,0,PS_fg_bg
OG0008790,FAM53B,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0014187,EGFL8,bsA1/bsA,86.474,0,0,M1/M2,0,1,1,PS_fg
OG0011120,LRRC39,bsA1/bsA,0,1,1,M1/M2,1.9,0.387,1,no_PS
OG0006622,STX7,bsA1/bsA,0,1,1,M1/M2,17.199,0,0.002,PS_bg
OG0009528,KIF13A,bsA1/bsA,9.659,0.002,0.005,M1/M2,0.136,0.934,1,PS_fg
OG0011840,STARD3,bsA1/bsA,22.394,0,0,M1/M2,0,1,1,PS_fg
OG0006301,USP9X,bsA1/bsA,16.249,0,0,M1/M2,0,1,1,PS_fg
OG0011206,POP1,bsA1/bsA,64.43,0,0,M1/M2,2.637,0.268,0.791,PS_fg
OG0006427,SLC48A1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008514,RMND5B,bsA1/bsA,12.145,0,0.001,M1/M2,0,1,1,PS_fg
OG0008228,TENT4B,bsA1/bsA,4.21,0.04,0.086,M1/M2,8.852,0.012,0.063,no_PS
OG0012272,EFCAB2,bsA1/bsA,0,1,1,M1/M2,14.592,0.001,0.005,PS_bg
OG0005957,KMT2B,bsA1/bsA,31.03,0,0,M1/M2,164.79,0,0,PS_fg_bg
OG0013234,PDZK1,bsA1/bsA,0.97,0.325,0.577,M1/M2,5.436,0.066,0.264,no_PS
OG0013396,FAM161A,bsA1/bsA,,,,M1/M2,6.377,0.041,0.179,poor_fit
OG0011614,IHH,bsA1/bsA,0,1,1,M1/M2,0.458,0.795,1,no_PS
OG0009602,CCDC86,bsA1/bsA,13.16,0,0.001,M1/M2,13.742,0.001,0.007,PS_fg_bg
OG0011761,ALDH1A3,bsA1/bsA,3.105,0.078,0.159,M1/M2,0,1,1,no_PS
OG0012953,FBXL21P,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0006747,MTFR1L,bsA1/bsA,,,,M1/M2,14.854,0.001,0.004,poor_fit
OG0011867,,bsA1/bsA,218.472,0,0,M1/M2,9.777,0.008,0.042,PS_fg
OG0005560,TRH,bsA1/bsA,4.191,0.041,0.087,M1/M2,1.786,0.409,1,no_PS
OG0013449,ENTR1,bsA1/bsA,0,1,1,M1/M2,5.758,0.056,0.231,no_PS
OG0011622,SLC22A18,bsA1/bsA,1.077,0.299,0.536,M1/M2,47.275,0,0,PS_bg
OG0009935,BICDL1,bsA1/bsA,2.596,0.107,0.212,M1/M2,0,1,1,no_PS
OG0006548,PDLIM7,bsA1/bsA,40.6,0,0,M1/M2,1.91,0.385,1,PS_fg
OG0006105,EMP2,bsA1/bsA,294.421,0,0,M1/M2,0.389,0.823,1,PS_fg
OG0009547,FEZF1,bsA1/bsA,0,0.994,1,M1/M2,0,1,1,no_PS
OG0005518,AMER1,bsA1/bsA,10.84,0.001,0.003,M1/M2,0,1,1,PS_fg
OG0009852,SMYD3,bsA1/bsA,57.685,0,0,M1/M2,4.959,0.084,0.319,PS_fg
OG0010887,ILRUN CUNH6ORF106,bsA1/bsA,0,1,1,M1/M2,14.596,0.001,0.005,PS_bg
OG0013295,,bsA1/bsA,,,,M1/M2,0.693,0.707,1,poor_fit
OG0005907,,bsA1/bsA,12.447,0,0.001,M1/M2,2.441,0.295,0.848,PS_fg
OG0007905,DDX1,bsA1/bsA,42.547,0,0,M1/M2,0.183,0.913,1,PS_fg
OG0008762,CACUL1,bsA1/bsA,2.521,0.112,0.221,M1/M2,0,1,1,no_PS
OG0009526,TPMT,bsA1/bsA,3.173,0.075,0.153,M1/M2,0,1,1,no_PS
OG0011430,CD79A,bsA1/bsA,47.511,0,0,M1/M2,28.173,0,0,PS_fg_bg
OG0006201,FBRS,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0013033,RNF32,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0006773,CDK5R2,bsA1/bsA,0,1,1,M1/M2,0.544,0.762,1,no_PS
OG0012607,HADH,bsA1/bsA,,,,M1/M2,0.56,0.756,1,poor_fit
OG0007267,PFKFB3,bsA1/bsA,239.28,0,0,M1/M2,11.631,0.003,0.019,PS_fg
OG0007612,RNF138,bsA1/bsA,0,1,1,M1/M2,30.75,0,0,PS_bg
OG0013693,LRRC4C,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0010400,RNF26,bsA1/bsA,3.283,0.07,0.144,M1/M2,0,1,1,no_PS
OG0010494,RPL37A,bsA1/bsA,0,1,1,M1/M2,23.518,0,0,PS_bg
OG0010448,DCDC2,bsA1/bsA,24.545,0,0,M1/M2,0,1,1,PS_fg
OG0006518,MEIKIN,bsA1/bsA,0.689,0.406,0.708,M1/M2,24.659,0,0,PS_bg
OG0009783,HOXB1,bsA1/bsA,3.184,0.074,0.152,M1/M2,0,1,1,no_PS
OG0009921,RERG,bsA1/bsA,0,1,1,M1/M2,1.135,0.567,1,no_PS
OG0007669,MAP3K7CL,bsA1/bsA,8.416,0.004,0.009,M1/M2,5.318,0.07,0.278,PS_fg
OG0005365,XPO1,bsA1/bsA,,,,M1/M2,0.002,0.999,1,poor_fit
OG0008775,ATE1,bsA1/bsA,18.926,0,0,M1/M2,0,1,1,PS_fg
OG0013886,ABCA2,bsA1/bsA,2.739,0.098,0.195,M1/M2,40.776,0,0,PS_bg
OG0012516,ATG7,bsA1/bsA,97.497,0,0,M1/M2,2.114,0.347,0.954,PS_fg
OG0006549,DBN1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011047,KCNE4,bsA1/bsA,64.96,0,0,M1/M2,1.211,0.546,1,PS_fg
OG0013947,GLE1,bsA1/bsA,139.608,0,0,M1/M2,0,1,1,PS_fg
OG0005393,VCPKMT,bsA1/bsA,50.823,0,0,M1/M2,211.642,0,0,PS_fg_bg
OG0012483,SLC31A1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009953,ANKRD26,bsA1/bsA,52.976,0,0,M1/M2,16.515,0,0.002,PS_fg_bg
OG0012670,SMAP1,bsA1/bsA,18.739,0,0,M1/M2,3.541,0.17,0.557,PS_fg
OG0013458,CBX6,bsA1/bsA,0,1,1,M1/M2,21.328,0,0,PS_bg
OG0011193,VSTM2A,bsA1/bsA,0.001,0.97,1,M1/M2,19.958,0,0,PS_bg
OG0011094,USP37,bsA1/bsA,52.334,0,0,M1/M2,0,1,1,PS_fg
OG0012971,FHDC1,bsA1/bsA,3.705,0.054,0.114,M1/M2,0.022,0.989,1,no_PS
OG0012073,PARN,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012016,THUMPD1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009943,SF3A1,bsA1/bsA,2.906,0.088,0.178,M1/M2,0,1,1,no_PS
OG0012773,CCDC42,bsA1/bsA,0.03,0.862,1,M1/M2,0.612,0.736,1,no_PS
OG0008121,DHCR24,bsA1/bsA,116.33,0,0,M1/M2,0.227,0.893,1,PS_fg
OG0011889,,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
